te,sr,ev,ws,rl,sh,rel
11.7,16.9,3.3,5,67.6,5.8,83
9.5,16.1,3.9,5,120.1,4.8,83
9,15.8,3.4,6,156.9,4.9,81
8.4,15.3,2.5,5,312.9,8.7,86
6.4,15.1,2.4,5,351.1,1.1,84
5.5,13.8,2,6,439,1,86
5.7,12.3,1.9,6,391.9,2,86
5.7,14.3,1.7,6,213.5,3.1,86
7.3,14.8,2.1,5,372.1,5.1,84
8.4,17.1,2.5,5,77.6,6.1,82
10.1,16.8,4.6,6,186.9,5.9,79
9.8,17.6,3.7,5,221.5,5.5,82
9.4,15.7,3.4,6,255.2,4.9,82
7.9,16.6,2.5,5,191,4.6,83
8.2,13.5,1.6,6,407.3,4.5,86
7.2,13.6,2.1,5,295.9,2.7,80
8.3,12.8,3.5,7,316.5,1.5,86
7.3,13.2,1.8,6,215.1,2,89
9.3,16.9,1.8,6,277.3,4,85
10.3,17.2,2.1,5,120.7,5.4,86
11.1,15.8,2.7,5,11.4,6.8,80
